time,PID_temp,PID_setpoint,PID_control,PID_error,Fuzzy PID_temp,Fuzzy PID_setpoint,Fuzzy PID_control,Fuzzy PID_error
0.0,25.04286899901381,25.0,0.28411124810462174,-0.04286899901380892,24.840236857048502,25.0,0.0,0.15976314295149763
0.1,25.035674214641077,25.0,0.0,-0.035674214641076674,25.00703989180078,25.0,0.8158032767683553,-0.007039891800779685
0.2,24.866794735028282,25.0,1.1134087706626754,0.1332052649717177,24.964215322398182,25.0,0.6740415015984531,0.035784677601817805
0.30000000000000004,25.146582495275915,25.0,0.6724349026045026,-0.14658249527591494,24.999646346450703,25.0,0.12020941332156942,0.0003536535492969506
0.4,24.935309700939314,25.0,0.0,0.06469029906068613,24.92310454678332,25.0,0.7022679529883542,0.07689545321667879
0.5,25.012809266367093,25.0,0.0,-0.012809266367092675,25.041828729252323,25.0,0.7692717030357696,-0.04182872925232317
0.6000000000000001,24.96978612376952,25.0,1.8380457512209607,0.030213876230479997,24.910942357736115,25.0,0.855680923534829,0.08905764226388513
0.7000000000000001,24.844972745385753,25.0,0.0,0.1550272546142466,25.14884734470245,25.0,0.0,-0.14884734470244965
0.8,24.89367585150981,25.0,0.0,0.10632414849019156,24.792230897474536,25.0,0.8363806004806729,0.20776910252546443
0.9,24.945949323128307,25.0,0.4870948669669266,0.05405067687169307,25.021710918058755,25.0,0.0,-0.021710918058754913
1.0,25.00942051403302,25.0,0.457076487937284,-0.009420514033021021,24.721069401050247,25.0,0.34301970825356587,0.2789305989497528
1.1,24.82374174129822,25.0,0.23351439558261064,0.1762582587017789,24.783054727286533,25.0,0.6520482975023449,0.21694527271346686
1.2000000000000002,24.72866164457524,25.0,0.0,0.2713383554247599,24.934108699426368,25.0,0.0,0.06589130057363235
1.3,25.018805920456803,25.0,2.001531198254119,-0.01880592045680274,24.971962658334977,25.0,0.8291366555447292,0.028037341665022808
1.4000000000000001,24.939811126448316,25.0,0.5526057687437269,0.06018887355168445,24.91991258245917,25.0,0.4835481859822145,0.08008741754083104
1.5,24.990204579722093,25.0,1.1408875882366558,0.009795420277907141,24.738963134840738,25.0,0.43907869866682403,0.2610368651592623
1.6,24.896811914456013,25.0,0.8259253344641093,0.10318808554398728,24.869388747055083,25.0,1.0589946848633969,0.1306112529449166
1.7000000000000002,24.82652827075214,25.0,0.4889165485235614,0.17347172924786136,24.945801362570325,25.0,1.0772875271813414,0.05419863742967479
1.8,24.83186766994567,25.0,0.0,0.16813233005433048,24.970910272624558,25.0,1.224054768163066,0.029089727375442465
1.9000000000000001,24.758253481495895,25.0,1.9506547102776794,0.24174651850410456,24.8793376195924,25.0,1.4676949992712947,0.12066238040760169
2.0,24.731402641001036,25.0,1.7007144339712137,0.26859735899896364,24.725810627362815,25.0,2.0592329224574146,0.2741893726371849
2.1,24.947941168879996,25.0,1.2157118505759714,0.052058831120003646,24.735924420487056,25.0,1.683190577120914,0.26407557951294436
2.2,24.71975421459516,25.0,1.0953204351160732,0.2802457854048406,24.784146493583076,25.0,1.020521875296096,0.21585350641692358
2.3000000000000003,24.839141727091135,25.0,0.5583808346119583,0.16085827290886456,24.676063100222997,25.0,1.0098028138288344,0.3239368997770029
2.4000000000000004,24.568979215682965,25.0,1.6172266039810013,0.4310207843170346,24.612938593690536,25.0,1.575405980825656,0.3870614063094635
2.5,24.813245215576906,25.0,0.7882351244091766,0.18675478442309412,24.763850688375808,25.0,2.0169020466053,0.2361493116241924
2.6,24.985967109234327,25.0,1.4593351499283855,0.014032890765673045,24.82822403084198,25.0,2.643366492707545,0.17177596915801985
2.7,24.828231938275437,25.0,1.4569279383182838,0.17176806172456338,24.878005098875985,25.0,1.4008660086724007,0.12199490112401534
2.8000000000000003,24.704307574335964,25.0,1.2524181590164298,0.2956924256640363,24.759103230013068,25.0,1.3890942846195942,0.2408967699869322
2.9000000000000004,24.756572626975622,25.0,1.2259056657113496,0.2434273730243781,24.878486147032074,25.0,1.5600417150930694,0.12151385296792583
3.0,24.75502197924669,25.0,1.7366383654925777,0.24497802075331165,24.798539458885262,25.0,1.143853929380383,0.20146054111473788
3.1,24.874759041305985,25.0,1.3547053495540826,0.12524095869401464,24.693603234269283,25.0,2.300497539890414,0.3063967657307174
3.2,24.639796285339973,25.0,1.4659297543981795,0.36020371466002743,24.574305783448523,25.0,1.848244850922581,0.4256942165514772
3.3000000000000003,24.675087364646902,25.0,1.824546283040912,0.32491263535309756,24.728633362599517,25.0,2.223543347055066,0.27136663740048306
3.4000000000000004,24.604260260791694,25.0,1.6944755801065876,0.39573973920830596,24.771915411693325,25.0,1.5946049722036748,0.22808458830667533
3.5,24.499128719200176,25.0,1.5612382303305974,0.5008712807998243,24.67298359056452,25.0,0.8296739033585345,0.3270164094354797
3.6,24.702602217943436,25.0,0.36705812676852734,0.29739778205656364,24.605706203403372,25.0,3.104153784763512,0.394293796596628
3.7,24.715899096188693,25.0,2.200480981047682,0.28410090381130715,24.693266716535575,25.0,2.9023282165276467,0.30673328346442474
3.8000000000000003,24.742944852863747,25.0,2.078150642392605,0.25705514713625277,24.69859896904315,25.0,2.361553843474998,0.3014010309568498
3.9000000000000004,24.593386649309895,25.0,2.9960897559792405,0.4066133506901046,24.71119718306074,25.0,1.640287761295092,0.2888028169392598
4.0,24.820534757668604,25.0,0.0,0.17946524233139627,24.60942506085883,25.0,0.5739581574919732,0.39057493914117103
4.1000000000000005,24.617043635367395,25.0,2.740015808977043,0.3829563646326051,24.746495684185174,25.0,2.2032080205074758,0.25350431581482624
