time,Fuzzy (Triangular)_temp,Fuzzy (Triangular)_setpoint,Fuzzy (Triangular)_control,Fuzzy (Triangular)_error,Fuzzy (Gaussian)_temp,Fuzzy (Gaussian)_setpoint,Fuzzy (Gaussian)_control,Fuzzy (Gaussian)_error
0.0,25.05652728846801,25.0,0.0,-0.05652728846801125,24.84375699891349,25.0,0.2832166201936103,0.15624300108650857
0.1,25.08252997659562,25.0,1.592829934688796,-0.08252997659561956,24.91389682206455,25.0,0.3937709701685901,0.08610317793544908
0.2,24.982778900484366,25.0,0.38515091502093585,0.01722109951563411,24.99071626550173,25.0,0.10743786500174023,0.009283734498268359
0.30000000000000004,24.95631284371835,25.0,0.0,0.04368715628164921,24.83182508051233,25.0,0.0,0.16817491948766872
0.4,24.860193485618513,25.0,0.0,0.13980651438148683,24.975097963670517,25.0,0.0,0.024902036329482513
0.5,24.994777663591062,25.0,1.02378084110959,0.005222336408937878,25.07662286720966,25.0,0.23837780460590619,-0.07662286720966094
0.6000000000000001,24.988961753164823,25.0,0.9292174628202914,0.01103824683517729,25.06075662066371,25.0,0.32944697026627295,-0.06075662066371024
0.7000000000000001,25.087685724129184,25.0,1.0791554471894402,-0.08768572412918374,24.766575873095015,25.0,0.9561360234882164,0.23342412690498548
0.8,24.87147779011778,25.0,0.5289432105600581,0.1285222098822203,24.8843478547163,25.0,0.0,0.11565214528370049
0.9,24.87738523848773,25.0,0.22860436127206507,0.12261476151227058,25.021958552487636,25.0,0.42729987580797674,-0.021958552487635785
1.0,25.05429942011594,25.0,0.5968300876255451,-0.0542994201159388,24.992186850701774,25.0,0.9685379750233387,0.007813149298225852
1.1,24.755161980269794,25.0,0.40736047794664565,0.24483801973020647,25.11930855008669,25.0,1.0476905846888567,-0.11930855008668928
1.2000000000000002,24.78073413700666,25.0,1.2877327809658226,0.21926586299333906,25.034806728674493,25.0,0.4659760834571096,-0.03480672867449286
1.3,24.743656981338223,25.0,1.5403228027149158,0.2563430186617772,24.998426117400708,25.0,0.7929393943149835,0.0015738825992919203
1.4000000000000001,24.88120612284599,25.0,0.274974547480341,0.11879387715400824,24.947350362456636,25.0,0.0,0.05264963754336449
1.5,24.65786615507749,25.0,1.186078394292458,0.3421338449225111,25.02285362289664,25.0,1.1099588610583304,-0.022853622896640502
1.6,24.85798612858772,25.0,0.5780649169982884,0.1420138714122814,24.88723431186066,25.0,0.0,0.11276568813934063
1.7000000000000002,24.89644641695351,25.0,1.8712779596231863,0.10355358304649087,25.02093517933854,25.0,1.6280043462432863,-0.020935179338540166
1.8,24.856098819464258,25.0,1.5796782403327256,0.1439011805357424,24.892822499041277,25.0,0.7659587140377275,0.10717750095872347
1.9000000000000001,24.889049251260282,25.0,1.342685198407405,0.11095074873971811,24.784337064992684,25.0,1.2863102336525079,0.21566293500731604
2.0,24.835597776378815,25.0,2.1032506425602824,0.16440222362118462,24.875714756413853,25.0,1.2104527347848726,0.12428524358614723
2.1,24.89580347700816,25.0,1.25640622749157,0.10419652299183824,24.927335275492016,25.0,1.8466236934408917,0.07266472450798389
2.2,24.823657087081955,25.0,0.7381982899493559,0.17634291291804516,25.03930249812177,25.0,1.1312397510301173,-0.03930249812177067
2.3000000000000003,24.782721208040176,25.0,1.0815842177435835,0.21727879195982425,24.902767180681945,25.0,0.7739776530751808,0.09723281931805516
2.4000000000000004,24.64214627525755,25.0,1.0577478462435275,0.35785372474245136,24.750088635376116,25.0,1.7594054646792643,0.24991136462388397
2.5,24.825786814581843,25.0,2.095655633643258,0.17421318541815722,24.93866497513057,25.0,0.5977632215943899,0.06133502486942888
2.6,24.73689707612896,25.0,1.3236277320590215,0.2631029238710383,24.661651250838535,25.0,1.4713552851907918,0.3383487491614652
2.7,24.692518151857524,25.0,0.6965271973670639,0.30748184814247637,24.669140554317526,25.0,1.9189437363482091,0.3308594456824743
2.8000000000000003,24.752236164316724,25.0,1.4663843330605777,0.2477638356832763,24.588088453994306,25.0,2.2155655265147605,0.4119115460056939
2.9000000000000004,24.81433613764004,25.0,1.7104381866535647,0.18566386235995935,24.635269032162256,25.0,2.1129443871615186,0.36473096783774395
3.0,24.942566616582628,25.0,1.133849764504709,0.05743338341737214,24.77878266703089,25.0,1.119352878160109,0.22121733296911117
3.1,24.703485783952736,25.0,2.0144522136138288,0.2965142160472638,24.803260961445666,25.0,1.9368960467253487,0.19673903855433394
3.2,24.628986756016378,25.0,2.624959574697328,0.37101324398362223,24.64085395051456,25.0,1.705611280404414,0.3591460494854388
3.3000000000000003,24.70840718071773,25.0,0.4151091323832807,0.2915928192822683,24.608287016144377,25.0,1.3420082175949855,0.3917129838556228
3.4000000000000004,24.75390095302294,25.0,1.2315755722802282,0.24609904697706142,24.747910423979786,25.0,1.5583607200186167,0.2520895760202144
3.5,24.71205435538771,25.0,1.4507880997843898,0.28794564461228944,24.647964133444766,25.0,1.1515926845996085,0.35203586655523367
3.6,24.660297271300994,25.0,2.1916045705837885,0.339702728699006,24.700994713816463,25.0,1.6209608886900875,0.2990052861835366
3.7,24.760182029044493,25.0,1.860658491444649,0.2398179709555066,24.695955397173073,25.0,1.6979764781346454,0.30404460282692725
3.8000000000000003,24.71358606099201,25.0,1.7677960690362682,0.28641393900798917,24.777623585527273,25.0,2.313108993907707,0.22237641447272694
3.9000000000000004,24.615763286248264,25.0,1.715861907152581,0.3842367137517364,24.524546054056724,25.0,1.223929680229027,0.4754539459432756
4.0,24.73426352267561,25.0,1.4377249723824106,0.26573647732438843,24.6044601267553,25.0,1.0947642271815032,0.39553987324470086
